Species,Source,Transplant,Colony.ID,area_t1,AMR,area_t2,AMR,area_t3,AMR,amr_t1-t2,amr_t2-t3,amr_t1-t3,gain,mortality
Acropora millepora,Miall,Miall,KK1,221.08,8.39,219.86,8.37,,,-0.28,,,,1
Acropora millepora,Miall,Miall,KK2,119.98,6.18,156.11,7.05,180.36,7.58,12.33,7.48,22.6,0.366021771,0
Acropora millepora,Miall,Miall,KK3,231.32,8.58,245.62,8.84,425.68,11.64,2.95,31.65,35.66,0.304054054,0
Acropora millepora,Miall,Miall,KK4,,,,,,,,,,,
Acropora millepora,Miall,Miall,KK5,203.32,8.04,233.92,8.63,256.92,9.04,6.77,4.8,12.41,0.234174764,0
Acropora millepora,Miall,Miall,KK6,278.35,9.41,299.6,9.77,310,9.93,3.61,1.72,5.53,0.106916687,0
Acropora millepora,Miall,Miall,KK7,181.02,7.59,182.67,7.63,,,0.45,,,,1
Acropora millepora,Miall,Miall,KK8,245.53,8.84,266.57,9.21,317.31,10.05,4.03,9.1,13.68,0.195659263,0
Acropora millepora,Miall,Miall,KK9,139.55,6.66,174.73,7.46,191.21,7.8,10.63,4.61,17.05,0.397827516,0
Acropora millepora,Miall,Miall,KK10,116.62,6.09,122.34,6.24,158.46,7.1,2.36,13.81,16.57,0.436762383,0
Acropora millepora,Miall,Miall,KK11,212.84,8.23,213.55,8.24,180.82,7.59,0.16,-7.98,-7.83,0.206466144,0
Acropora millepora,Miall,Miall,KK12,150.91,6.93,241.14,8.76,308.34,9.91,20.89,13.08,42.94,0.457665904,0
Acropora millepora,Miall,Miall,KK13,177.84,7.52,190.25,7.78,158.5,7.1,3.31,-8.72,-5.59,0.340267574,0
Acropora millepora,Miall,Miall,KK14,181.81,7.61,219.87,8.37,250.19,8.92,9.07,6.67,17.31,0.234196891,0
Acropora millepora,Miall,Miall,KK15,134.07,6.53,133.29,6.51,150.22,6.91,-0.29,6.16,5.85,0.178335858,0
Acropora millepora,Hazard Bay,Miall,OK1,167.71,7.31,190.58,7.79,210.36,8.18,6.19,5.06,12,0.163883598,0
Acropora millepora,Hazard Bay,Miall,OK2,250.67,8.93,255.92,9.03,232.93,8.61,1.03,-4.6,-3.6,0.120661509,0
Acropora millepora,Hazard Bay,Miall,OK3,242.27,8.78,314.69,10.01,,,12.26,,,0.1115138,0
Acropora millepora,Hazard Bay,Miall,OK4,333.62,10.31,371.38,10.87,414.42,11.49,5.22,5.64,11.45,0.13204772,0
Acropora millepora,Hazard Bay,Miall,OK5,214.88,8.27,203.83,8.05,220.13,8.37,-2.67,3.92,1.21,0.088281758,0
Acropora millepora,Hazard Bay,Miall,OK6,190,7.78,204.29,8.06,215.12,8.27,3.56,2.61,6.4,0.162765092,0
Acropora millepora,Hazard Bay,Miall,OK7,332.69,10.29,360.85,10.72,376.5,10.95,3.98,2.15,6.38,0.091314217,0
Acropora millepora,Hazard Bay,Miall,OK8,227.28,8.51,268.54,9.25,,,8,,,,1
Acropora millepora,Hazard Bay,Miall,OK9,238.32,8.71,221.52,8.4,250.55,8.93,-3.72,6.35,2.53,0.102302858,0
Acropora millepora,Hazard Bay,Miall,OK10,230.51,8.57,258,9.06,275.59,9.37,5.48,3.35,9.34,0.202338435,0
Acropora millepora,Hazard Bay,Miall,OK11,122.39,6.24,112.36,5.98,,,-4.37,,,,1
Acropora millepora,Hazard Bay,Miall,OK12,197.88,7.94,195.66,7.89,,,-0.57,,,,1
Acropora millepora,Hazard Bay,Miall,OK13,296.33,9.71,331.89,10.28,350.55,10.56,5.51,2.77,8.77,0.089257504,0
