name	term	lev	seq	value
"Smc5-Smc6 complex"	GO:0030915	3	XP_015747567.1	0.0287643444942205
"Smc5-Smc6 complex"	GO:0030915	3	XP_015750805.1	-0.550470582451624
"Smc5-Smc6 complex"	GO:0030915	3	XP_015757767.1	0.00383410585828869
"Smc5-Smc6 complex"	GO:0030915	3	XP_015757768.1	3.88232499517471e-05
"Smc5-Smc6 complex"	GO:0030915	3	XP_015772407.1	-0.0555306067883521
"integral component of mitochondrial inner membrane"	GO:0031305	4	XP_015747989.1	0.0518528527214812
"integral component of mitochondrial inner membrane"	GO:0031305	4	XP_015748807.1	-6.59362391072585
"integral component of mitochondrial inner membrane"	GO:0031305	4	XP_015750694.1	0.171388082509282
"integral component of mitochondrial inner membrane"	GO:0031305	4	XP_015760948.1	0.345937482957197
"integral component of mitochondrial inner membrane"	GO:0031305	4	XP_015776100.1	-1.17200035853688
"integral component of mitochondrial inner membrane"	GO:0031305	4	XP_015778052.1	-0.0786530818318738
"integral component of mitochondrial inner membrane"	GO:0031305	4	XP_015778592.1	-0.00611698880908307
"microbody part"	GO:0044439;GO:0044438	3	XP_015747348.1	-0.26147783030958
"microbody part"	GO:0044439;GO:0044438	3	XP_015747922.1	-0.0783100474693583
"microbody part"	GO:0044439;GO:0044438	3	XP_015749068.1	-0.41109073137568
"microbody part"	GO:0044439;GO:0044438	3	XP_015749575.1	-0.308125313491473
"microbody part"	GO:0044439;GO:0044438	3	XP_015749684.1	0.0174098248104144
"microbody part"	GO:0044439;GO:0044438	3	XP_015749809.1	-1.87892936927955
"microbody part"	GO:0044439;GO:0044438	3	XP_015750632.1	-1.17256941295454
"microbody part"	GO:0044439;GO:0044438	3	XP_015750937.1	-0.000842312810050316
"microbody part"	GO:0044439;GO:0044438	3	XP_015753643.1	-0.200464452403338
"microbody part"	GO:0044439;GO:0044438	3	XP_015753801.1	0.584175010719804
"microbody part"	GO:0044439;GO:0044438	3	XP_015754187.1	1.79557899936964
"microbody part"	GO:0044439;GO:0044438	3	XP_015756396.1	-3.43035878813691
"microbody part"	GO:0044439;GO:0044438	3	XP_015756890.1	0.00041631449866486
"microbody part"	GO:0044439;GO:0044438	3	XP_015757376.1	0.948940936453539
"microbody part"	GO:0044439;GO:0044438	3	XP_015758107.1	-0.0988140089135072
"microbody part"	GO:0044439;GO:0044438	3	XP_015758692.1	-0.148632460714907
"microbody part"	GO:0044439;GO:0044438	3	XP_015758733.1	0.00053209686137734
"microbody part"	GO:0044439;GO:0044438	3	XP_015758915.1	0.000449631804599449
"microbody part"	GO:0044439;GO:0044438	3	XP_015759128.1	0.138384698833192
"microbody part"	GO:0044439;GO:0044438	3	XP_015759673.1	0.415140406711032
"microbody part"	GO:0044439;GO:0044438	3	XP_015759897.1	-0.0402441130641762
"microbody part"	GO:0044439;GO:0044438	3	XP_015759959.1	-0.0802660907763766
"microbody part"	GO:0044439;GO:0044438	3	XP_015761928.1	-0.510656270144295
"microbody part"	GO:0044439;GO:0044438	3	XP_015763215.1	-1.8657249519767
"microbody part"	GO:0044439;GO:0044438	3	XP_015764687.1	-9.10783024756944
"microbody part"	GO:0044439;GO:0044438	3	XP_015765211.1	-0.00103411720721169
"microbody part"	GO:0044439;GO:0044438	3	XP_015765854.1	0.480716466102649
"microbody part"	GO:0044439;GO:0044438	3	XP_015767448.1	-2.46552062204813
"microbody part"	GO:0044439;GO:0044438	3	XP_015769530.1	0.111334534771913
"microbody part"	GO:0044439;GO:0044438	3	XP_015770988.1	0.0715938888660048
"microbody part"	GO:0044439;GO:0044438	3	XP_015771085.1	-0.400787933484082
"microbody part"	GO:0044439;GO:0044438	3	XP_015771358.1	-0.192988674592812
"microbody part"	GO:0044439;GO:0044438	3	XP_015771997.1	0.222972497485443
"microbody part"	GO:0044439;GO:0044438	3	XP_015772704.1	0.112300476242012
"microbody part"	GO:0044439;GO:0044438	3	XP_015773089.1	3.40701573913157
