"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
206 0.767271956577578 2 11 "GO:0000002" "mitochondrial genome maintenance" 0.975645752667174
-1025 0.209504558203083 1 8 "GO:0000003" "reproduction" 0.884036575076593
-541 0.199986001271724 2 30 "GO:0000018" "regulation of DNA recombination" 0.880700228696031
1112 0.0716559849698846 6 14 "GO:0000027" "ribosomal large subunit assembly" 0.803566543893398
-552 0.52687190827473 6 7 "GO:0000028" "ribosomal small subunit assembly" 0.955360110992825
285 0.621833303824805 4 16 "GO:0000038" "very long-chain fatty acid metabolic process" 0.96180402588805
225 0.549453962270124 2 38 "GO:0000041" "transition metal ion transport" 0.959076481721213
396 0.650348195180328 4 7 "GO:0000042;GO:0072600" "establishment of protein localization to Golgi" 0.96293284020438
720 0.135585533836588 3 23 "GO:0000045" "autophagic vacuole assembly" 0.859764954856631
148 0.856587213738633 4 8 "GO:0000054;GO:0033753;GO:0071428;GO:0071426;GO:0000055" "ribonucleoprotein complex export from nucleus" 0.99098045329509
1268 0.0687529274998424 7 11 "GO:0000059" "protein import into nucleus, docking" 0.803566543893398
-104 0.886922913711565 3 10 "GO:0000060" "protein import into nucleus, translocation" 0.994663711643375
-1202 0.0515558099845539 2 14 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.79066683379673
132 0.593267910078337 4 88 "GO:0000075" "cell cycle checkpoint" 0.96180402588805
97 0.879635361707848 2 13 "GO:0000076" "DNA replication checkpoint" 0.994663711643375
275 0.349459319320872 2 62 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.930189473123627
337 0.457783955180386 6 26 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.939019836162128
-66 0.879195769800662 4 28 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.994663711643375
-264 0.476156520992793 2 39 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.939019836162128
133 0.71652924269955 2 40 "GO:0000096" "sulfur amino acid metabolic process" 0.97013800203255
-749 0.359178870661038 5 8 "GO:0000098" "sulfur amino acid catabolic process" 0.935017342742693
126 0.451009042453496 2 195 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.938631709096054
-28 0.957432345940638 3 19 "GO:0000154" "rRNA modification" 0.99752947247512
658 0.192146480634096 2 21 "GO:0000160" "phosphorelay signal transduction system" 0.880700228696031
269 0.356302172316594 2 63 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.93421074813857
-473 0.616325716388444 5 6 "GO:0000183" "chromatin silencing at rDNA" 0.96180402588805
-280 0.553202534758971 4 24 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.959076481721213
809 0.433327591539036 2 5 "GO:0000185" "activation of MAPKKK activity" 0.938631709096054
