"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 6 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.230424533641819 5 16 "GO:0000118" "histone deacetylase complex" 1
0 0.00416290606923738 6 66 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.518096343413453
0 0.150936926541786 3 10 "GO:0000124" "SAGA complex" 1
0 1 2 6 "GO:0000127;GO:0090576" "RNA polymerase III transcription factor complex" 1
0 1 2 5 "GO:0000137" "Golgi cis cisterna" 1
0 0.568460152840196 4 373 "GO:0000139;GO:0044431" "Golgi apparatus part" 1
0 1 2 10 "GO:0000145" "exocyst" 1
0 0.974250701045195 3 220 "GO:0000151" "ubiquitin ligase complex" 1
0 1 2 23 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 4 5 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 1
0 0.108195853483138 2 7 "GO:0000159" "protein phosphatase type 2A complex" 1
0 1 3 21 "GO:0000177;GO:0000178;GO:0000176" "exosome (RNase complex)" 1
0 1 4 34 "GO:0000228" "nuclear chromosome" 1
0 1 3 9 "GO:0000242" "pericentriolar material" 1
0 1 4 6 "GO:0000276;GO:0045263" "proton-transporting ATP synthase complex, coupling factor F(o)" 1
0 1 2 9 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 2 7 "GO:0000346" "transcription export complex" 1
0 1 2 6 "GO:0000347;GO:0000445" "THO complex" 1
0 1 2 10 "GO:0000407" "pre-autophagosomal structure" 1
0 1 3 13 "GO:0000421" "autophagic vacuole membrane" 1
0 0.445797047095044 2 36 "GO:0000502" "proteasome complex" 1
0 0.367945114489697 4 28 "GO:0000775" "chromosome, centromeric region" 1
0 0.667501507973844 4 67 "GO:0000776" "kinetochore" 1
0 1 2 42 "GO:0000777" "condensed chromosome kinetochore" 1
0 0.63287194183847 4 61 "GO:0000781" "chromosome, telomeric region" 1
0 0.497879603667771 3 42 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.697570035064924 4 148 "GO:0000785" "chromatin" 1
0 1 4 12 "GO:0000786;GO:1990104" "nucleosome" 1
0 0.272297725328115 3 63 "GO:0000790" "nuclear chromatin" 1
0 0.313883915358239 5 23 "GO:0000792" "heterochromatin" 1
0 1 3 24 "GO:0000793" "condensed chromosome" 1
0 1 2 17 "GO:0000794" "condensed nuclear chromosome" 1
0 1 2 9 "GO:0000795" "synaptonemal complex" 1
0 1 4 5 "GO:0000796" "condensin complex" 1
0 1 2 5 "GO:0000800" "lateral element" 1
0 1 3 8 "GO:0000803" "sex chromosome" 1
0 1 5 6 "GO:0000812" "Swr1 complex" 1
0 1 5 7 "GO:0000813" "ESCRT I complex" 1
0 0.67294977511788 2 68 "GO:0000922" "spindle pole" 1
0 1 2 5 "GO:0000923" "equatorial microtubule organizing center" 1
0 1 3 8 "GO:0000930" "gamma-tubulin complex" 1
0 1 4 46 "GO:0000932" "cytoplasmic mRNA processing body" 1
0 1 3 6 "GO:0000940" "condensed chromosome outer kinetochore" 1
0 1 2 9 "GO:0000974" "Prp19 complex" 1
0 0.0934805297703752 3 6 "GO:0001527;GO:0043205" "fibril" 1
0 1 2 19 "GO:0001669" "acrosomal vesicle" 1
0 1 2 37 "GO:0001726" "ruffle" 1
