"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.316960352882194 2 314 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.980514556816464
0 0.744743371966964 2 600 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 0.980514556816464
0 0.802239182849834 3 376 "GO:0004674" "protein serine/threonine kinase activity" 0.980514556816464
0 0.0211226651437688 2 802 "GO:0004871;GO:0060089;GO:0004888;GO:0038023;GO:0004872" "signal transducer activity" 0.154899544387638
0 0.0995200356844813 2 313 "GO:0004930" "G-protein coupled receptor activity" 0.364906797509765
0 0.011149492746505 2 324 "GO:0005102" "receptor binding" 0.122644420211555
0 0.583053004520723 1 348 "GO:0005198" "structural molecule activity" 0.980514556816464
0 0.00362805501803827 2 395 "GO:0005509" "calcium ion binding" 0.0798172103968419
0 0.946482668634318 2 714 "GO:0008270" "zinc ion binding" 1
0 0.451603915114217 5 360 "GO:0008324" "cation transmembrane transporter activity" 0.980514556816464
0 0.0301525330862837 2 735 "GO:0015075;GO:0022891;GO:0022857;GO:0022892" "substrate-specific transporter activity" 0.16583893197456
0 0.78248112402501 2 559 "GO:0016491" "oxidoreductase activity" 0.980514556816464
0 0.594606199183405 3 645 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.980514556816464
0 1 2 382 "GO:0016874" "ligase activity" 1
0 0.958441492813339 2 361 "GO:0016887" "ATPase activity" 1
0 0.987508328439656 6 614 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 1
0 0.768616210740799 2 551 "GO:0019899" "enzyme binding" 0.980514556816464
0 0.663902525623059 1 499 "GO:0030234" "enzyme regulator activity" 0.980514556816464
0 0.729530644818803 3 342 "GO:0042802" "identical protein binding" 0.980514556816464
0 0.502454834949025 4 321 "GO:0043565" "sequence-specific DNA binding" 0.980514556816464
0 0.444319577793027 4 468 "GO:0044822" "poly(A) RNA binding" 0.980514556816464
0 0.0704346199418177 4 426 "GO:0070011;GO:0008233" "peptidase activity" 0.309912327743998
