GO:0004871;GO:0060089;GO:0004888;GO:0038023;GO:0004872	GO:0015075;GO:0022891;GO:0022857;GO:0022892	GO:0070011;GO:0008233	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0030234	GO:0016788	GO:0005198	GO:0016887	GO:0008324	GO:0042802	GO:0003700;GO:0001071	GO:0019899	GO:0043565	GO:0004930	GO:0005102	GO:0005509	GO:0008270	GO:0016491	GO:0004674	GO:0004672;GO:0016301;GO:0016773	GO:0044822	GO:0016874
0	0.886	0.967	0.974	0.842	0.919	0.974	0.983	0.906	0.827	0.920	0.889	0.938	0.000	0.725	0.833	0.958	0.979	0.670	0.692	0.985	0.969
0.886	0	0.995	0.770	0.980	0.975	0.908	0.629	0.000	0.939	0.987	0.931	0.988	0.971	0.954	0.929	0.979	0.962	0.989	0.987	0.934	0.987
0.967	0.995	0	0.967	0.969	0.869	0.986	0.970	0.994	0.944	0.994	0.955	0.984	0.997	0.938	0.916	0.690	0.977	0.992	0.988	0.979	0.974
0.974	0.770	0.967	0	0.966	0.945	0.922	0.000	0.878	0.924	0.987	0.924	0.950	0.994	0.951	0.975	0.953	0.991	0.973	0.977	0.850	0.958
0.842	0.980	0.969	0.966	0	0.910	0.974	0.970	0.981	0.918	0.981	0.766	0.963	0.994	0.892	0.919	0.964	0.986	0.654	0.711	0.979	0.961
0.919	0.975	0.869	0.945	0.910	0	0.980	0.967	0.994	0.930	0.978	0.935	0.953	0.987	0.957	0.884	0.933	0.973	0.979	0.972	0.942	0.974
0.974	0.908	0.986	0.922	0.974	0.980	0	0.997	0.983	0.971	0.997	0.940	1.000	0.994	0.944	0.902	0.966	0.989	0.986	0.977	0.911	1.000
0.983	0.629	0.970	0.000	0.970	0.967	0.997	0	0.883	0.962	0.994	0.917	0.950	0.997	0.969	0.978	0.928	0.994	0.989	0.981	0.878	0.964
0.906	0.000	0.994	0.878	0.981	0.994	0.983	0.883	0	0.965	0.994	0.969	1.000	0.990	0.978	0.944	0.981	0.964	0.989	0.981	0.989	0.997
0.827	0.939	0.944	0.924	0.918	0.930	0.971	0.962	0.965	0	0.917	0.787	0.922	0.955	0.867	0.924	0.909	0.942	0.942	0.915	0.956	0.936
0.920	0.987	0.994	0.987	0.981	0.978	0.997	0.994	0.994	0.917	0	0.939	0.363	0.994	0.978	0.990	0.787	0.990	0.987	0.981	0.949	0.987
0.889	0.931	0.955	0.924	0.766	0.935	0.940	0.917	0.969	0.787	0.939	0	0.910	0.978	0.806	0.954	0.868	0.984	0.886	0.895	0.902	0.835
0.938	0.988	0.984	0.950	0.963	0.953	1.000	0.950	1.000	0.922	0.363	0.910	0	0.994	0.969	0.994	0.832	0.988	0.991	0.984	0.928	0.991
0.000	0.971	0.997	0.994	0.994	0.987	0.994	0.997	0.990	0.955	0.994	0.978	0.994	0	0.895	0.933	1.000	0.994	1.000	0.987	0.997	0.997
0.725	0.954	0.938	0.951	0.892	0.957	0.944	0.969	0.978	0.867	0.978	0.806	0.969	0.895	0	0.932	0.889	0.966	0.941	0.901	0.957	0.941
0.833	0.929	0.916	0.975	0.919	0.884	0.902	0.978	0.944	0.924	0.990	0.954	0.994	0.933	0.932	0	0.937	0.962	0.973	0.932	0.995	0.990
0.958	0.979	0.690	0.953	0.964	0.933	0.966	0.928	0.981	0.909	0.787	0.868	0.832	1.000	0.889	0.937	0	0.918	0.973	0.972	0.921	0.550
0.979	0.962	0.977	0.991	0.986	0.973	0.989	0.994	0.964	0.942	0.990	0.984	0.988	0.994	0.966	0.962	0.918	0	0.987	0.982	0.979	0.984
0.670	0.989	0.992	0.973	0.654	0.979	0.986	0.989	0.989	0.942	0.987	0.886	0.991	1.000	0.941	0.973	0.973	0.987	0	0.000	0.981	0.981
0.692	0.987	0.988	0.977	0.711	0.972	0.977	0.981	0.981	0.915	0.981	0.895	0.984	0.987	0.901	0.932	0.972	0.982	0.000	0	0.981	0.982
0.985	0.934	0.979	0.850	0.979	0.942	0.911	0.878	0.989	0.956	0.949	0.902	0.928	0.997	0.957	0.995	0.921	0.979	0.981	0.981	0	0.963
0.969	0.987	0.974	0.958	0.961	0.974	1.000	0.964	0.997	0.936	0.987	0.835	0.991	0.997	0.941	0.990	0.550	0.984	0.981	0.982	0.963	0
