prot,sig
XP_015754013.1,0
XP_015750272.1,0
XP_015747428.1,0
XP_015747108.1,0
XP_015747106.1,0
XP_015747109.1,0
XP_015747110.1,0
XP_015747112.1,0
XP_015747116.1,0
XP_015747113.1,0
XP_015747114.1,0
XP_015747115.1,0
XP_015747117.1,0
XP_015747119.1,0
XP_015747120.1,0
XP_015747121.1,0
XP_015747122.1,0
XP_015747126.1,0
XP_015747123.1,0
XP_015747124.1,0
XP_015747127.1,0
XP_015747128.1,0
XP_015747129.1,0
XP_015747130.1,0
XP_015747131.1,0
XP_015747132.1,0
XP_015747168.1,0
XP_015747145.1,0
XP_015747133.1,0
XP_015747138.1,0
XP_015747140.1,0
XP_015747144.1,0
XP_015747146.1,0
XP_015747147.1,0
XP_015747149.1,0
XP_015747150.1,0
XP_015747152.1,0
XP_015747153.1,0
XP_015747154.1,0
XP_015747155.1,0
XP_015747156.1,0
XP_015747158.1,0
XP_015747162.1,0
XP_015747159.1,0
XP_015747160.1,1
XP_015747161.1,0
XP_015747163.1,0
XP_015747164.1,0
XP_015747165.1,0
XP_015747166.1,0
XP_015747167.1,0
XP_015747171.1,0
XP_015747169.1,0
XP_015747170.1,0
XP_015747172.1,0
XP_015747175.1,0
XP_015747177.1,0
XP_015747189.1,0
XP_015747178.1,0
XP_015747179.1,0
XP_015747180.1,0
XP_015747182.1,0
XP_015747183.1,0
XP_015747184.1,0
XP_015747185.1,0
XP_015747186.1,0
XP_015747187.1,0
XP_015747188.1,0
XP_015747190.1,0
XP_015747191.1,0
XP_015747192.1,0
XP_015747193.1,0
XP_015747194.1,0
XP_015747198.1,0
XP_015747199.1,0
XP_015747200.1,0
XP_015747201.1,0
XP_015747204.1,0
XP_015747202.1,0
XP_015747203.1,0
XP_015747205.1,0
XP_015747206.1,0
XP_015747207.1,0
XP_015747208.1,0
XP_015747209.1,0
XP_015747210.1,0
XP_015747212.1,0
XP_015747213.1,0
XP_015747214.1,0
XP_015747216.1,0
XP_015747217.1,0
XP_015747220.1,0
XP_015747218.1,0
XP_015747219.1,0
XP_015747221.1,0
XP_015747222.1,0
XP_015747223.1,0
XP_015747224.1,0
XP_015747225.1,0
XP_015747230.1,0
XP_015747228.1,0
XP_015747229.1,0
XP_015747267.1,0
XP_015747231.1,0
XP_015747232.1,0
XP_015747233.1,0
XP_015747234.1,0
XP_015747236.1,0
XP_015747241.1,0
XP_015747238.1,0
XP_015747239.1,0
XP_015747240.1,0
XP_015747243.1,0
XP_015747244.1,0
XP_015747246.1,0
XP_015747248.1,0
XP_015747249.1,0
XP_015747250.1,0
XP_015747251.1,0
XP_015747252.1,0
XP_015747254.1,0
XP_015747255.1,0
XP_015747260.1,0
XP_015747256.1,0
XP_015747262.1,0
XP_015747263.1,0
XP_015747265.1,0
XP_015747266.1,0
XP_015747271.1,0
XP_015747268.1,0
XP_015747269.1,0
XP_015747270.1,1
XP_015747272.1,0
XP_015747273.1,0
XP_015747274.1,0
XP_015747275.1,0
XP_015747276.1,0
XP_015747277.1,0
XP_015747280.1,0
XP_015747281.1,0
XP_015747282.1,0
XP_015747283.1,0
XP_015747284.1,0
XP_015747285.1,0
XP_015747289.1,0
XP_015747286.1,0
XP_015747287.1,0
XP_015747288.1,1
XP_015747290.1,0
XP_015747293.1,0
XP_015747295.1,0
XP_015747296.1,0
XP_015747300.1,0
XP_015747297.1,0
XP_015747298.1,0
XP_015747299.1,0
XP_015747301.1,0
XP_015747302.1,0
XP_015747306.1,0
XP_015747308.1,0
XP_015747309.1,0
XP_015747311.1,0
XP_015747310.1,0
XP_015747312.1,0
XP_015747313.1,0
XP_015747314.1,0
XP_015747315.1,0
XP_015747320.1,0
XP_015747316.1,0
XP_015747317.1,0
XP_015747318.1,0
XP_015747321.1,0
XP_015747322.1,0
XP_015747323.1,0
XP_015747324.1,0
XP_015747326.1,0
XP_015747327.1,0
XP_015747328.1,0
XP_015747329.1,0
XP_015747330.1,0
XP_015747331.1,0
XP_015747333.1,0
XP_015747334.1,0
XP_015747335.1,0
XP_015747368.1,0
XP_015747336.1,0
XP_015747337.1,0
XP_015747338.1,0
XP_015747340.1,0
XP_015747341.1,0
XP_015747342.1,0
XP_015747343.1,0
XP_015747344.1,0
XP_015747345.1,0
XP_015747346.1,1
XP_015747347.1,0
XP_015747349.1,0
XP_015747350.1,0
XP_015747351.1,0
XP_015747352.1,0
XP_015747353.1,0
XP_015747357.1,0
XP_015747354.1,0
XP_015747356.1,0
XP_015747358.1,0
XP_015747359.1,0
XP_015747360.1,0
XP_015747361.1,0
XP_015747363.1,0
XP_015747366.1,0
XP_015747367.1,0
XP_015747369.1,0
XP_015747370.1,0
XP_015747371.1,0
XP_015747373.1,0
XP_015747375.1,0
XP_015747377.1,0
XP_015747378.1,0
XP_015747379.1,0
XP_015747380.1,0
XP_015747382.1,0
XP_015747383.1,0
XP_015747385.1,0
XP_015747386.1,0
XP_015747387.1,0
XP_015747392.1,0
XP_015747393.1,0
XP_015747394.1,0
XP_015747395.1,0
XP_015747396.1,0
XP_015747397.1,0
XP_015747400.1,0
XP_015747403.1,0
XP_015747401.1,0
XP_015747404.1,0
XP_015747405.1,0
XP_015747407.1,0
XP_015747408.1,1
XP_015747409.1,0
XP_015747413.1,0
XP_015747410.1,0
XP_015747411.1,0
XP_015747412.1,0
XP_015747414.1,0
XP_015747415.1,0
XP_015747416.1,0
XP_015747417.1,0
XP_015747418.1,0
XP_015747421.1,0
XP_015747422.1,0
XP_015747423.1,0
XP_015747424.1,0
XP_015747425.1,0
XP_015747426.1,0
XP_015747459.1,0
XP_015747429.1,0
XP_015747430.1,1
XP_015747431.1,0
XP_015747432.1,0
XP_015747433.1,0
XP_015747434.1,0
XP_015747435.1,0
XP_015747436.1,0
XP_015747437.1,0
XP_015747460.1,0
XP_015747438.1,0
XP_015747439.1,0
XP_015747442.1,0
XP_015747444.1,0
XP_015747445.1,0
XP_015747446.1,0
XP_015747448.1,0
XP_015747449.1,1
XP_015747450.1,0
XP_015747451.1,0
XP_015747452.1,0
XP_015747454.1,0
XP_015747455.1,0
XP_015747456.1,0
XP_015747457.1,0
XP_015747458.1,0
XP_015747461.1,0
