gene,primerset,f3prime,r3prime,effect
LOC107327073,13,127,349,origin
LOC107356898,14,714,959,origin
LOC107358158,15,455,750,origin
LOC107356899,16,158,353,origin
LOC107358871,17,219,479,origin
LOC107334334,18,28,143,niether
LOC107347512,19,144,377,origin
LOC107350794,20,718,940,niether
LOC107339795,21,708,844,niether
LOC107336909,22,177,302,niether
LOC107352877,23,388,604,transplant
LOC107351808,24,63,159,transplant
LOC107327285,25,263,302,transplant
